#gene	sample7	sample8	sample9
anise	6844	3209	6944
apricot	252	221	121
artichoke	8034	3814	4209
arugula	864	1128	652
asparagus	985	1944	3679
avocado	1855	3155	2604
banana	1338	1250	1203
basil	642	535	561
beet	22	26	20
blackberry	6516	4448	3838
blueberry	2403	2042	2673
broccoli	3899	5752	7666
butternut	3852	3004	4420
cabbage	667	460	606
cantaloupe	1286	1706	2621
caraway	354	606	742
carrot	4666	11142	9645
cauliflower	1529	2000	852
cayenne	326	266	326
celery	7854	12839	3274
chard	1915	2586	2242
cherry	51	80	73
chestnut	451	214	209
chickpea	134	11	47
cilantro	875	1224	1495
clementine	4012	1377	2747
coconut	5534	4837	6061
coriander	1584	1068	1107
cranberry	131	364	149
cucumber	5764	8422	12121
currant	3105	2118	3425
eggplant	4076	6845	4407
elderberry	887	4967	1721
endive	7664	4476	3286
fennel	1130	845	378
fig	5927	3111	1977
garlic	314	642	200
ginger	1082	515	513
gooseberry	1330	556	2149
grape	647	812	817
grapefruit	978	668	815
guava	3308	5683	3030
honeydew	115	71	56
horseradish	14815	5881	6541
huckleberry	1876	1482	1412
juniper	469	1167	656
kiwi	9696	12468	3355
kohlrabi	2018	1860	1519
lavender	272	308	456
leek	2996	5083	3549
lentil	3804	4271	10238
lettuce	2771	2662	4982
lime	13988	10960	8003
maize	411	868	515
mango	14118	14247	3846
melon	3148	4283	3741
mulberry	2515	2377	1939
mushroom	335	747	1528
mustard	450	212	172
nectarine	551	579	657
okra	1694	512	430
olive	6043	2221	2817
onion	791	2439	1342
orange	3305	7606	9524
oregano	489	220	355
papaya	1753	2392	625
parsley	763	906	114
parsnip	2311	2184	1271
pea	2558	1472	1274
peach	857	2204	1584
pear	22	9	12
pepper	413	229	262
persimmon	644	1369	816
pineapple	1185	3091	3474
plantain	2488	908	1598
plum	13600	10705	10174
pomegranate	378	157	92
potato	34	117	416
pumpkin	2285	2350	4142
quince	8580	10789	4583
radish	10257	3478	1945
raisin	5983	2828	11391
raspberry	820	1099	754
rhubarb	6697	7287	9956
rosemary	841	641	725
rutabaga	2426	937	2430
sage	5960	3504	5218
scallion	387	339	378
spinach	515	1352	1384
strawberry	1219	2864	1379
tamarind	413	329	325
tangerine	1741	1049	888
thyme	892	1774	1797
tomato	883	1718	1537
turnip	6921	7458	10347
wasabi	23284	27141	35659
watercress	611	949	1176
watermelon	16116	14373	11450
yam	1414	1767	3014
zucchini	886	753	566
OR4F5	1028	796	1308
FO538757.2	4219	3687	4659
FO538757.1	14194	6175	4952
OR4F29	7373	8273	16672
OR4F16	918	3157	3490
SAMD11	899	1624	1750
NOC2L	2502	1259	488
KLHL17	4894	2889	2384
PLEKHN1	2909	3406	3062
PERM1	34139	11593	13624
HES4	200	243	350
ISG15	439	378	803
AGRN	688	1084	800
RNF223	6872	9118	7728
C1orf159	6331	3494	9290
TTLL10	4964	1591	5270
TNFRSF18	3244	2496	2367
TNFRSF4	4469	6446	5949
SDF4	426	457	291
B3GALT6	3206	2621	2379
FAM132A	1207	798	932
UBE2J2	157	162	80
SCNN1D	9393	5679	6164
ACAP3	173	416	176
PUSL1	2821	1730	3743
CPSF3L	333	688	1731
CPTP	7130	4793	3309
TAS1R3	1187	1904	1538
DVL1	14476	7752	10184
MXRA8	1534	2594	2376
AURKAIP1	764	603	531
CCNL2	11943	12816	31627
MRPL20	720	447	564
ANKRD65	925	3127	3277
TMEM88B	733	1189	714
VWA1	21727	21818	14425
ATAD3C	622	706	463
ATAD3B	2452	1568	2133
ATAD3A	4012	3788	9716
TMEM240	5402	1760	2642
SSU72	400	448	620
AL645728.1	154	308	376
FNDC10	6168	8957	4879
MIB2	104	147	112
MMP23B	15755	12068	6978
CDK11B	839	1499	558
SLC35E2B	3601	4174	1907
CDK11A	3132	2658	3533
SLC35E2	581	746	1431
NADK	2342	3971	2165
GNB1	6747	11327	8833
CALML6	2971	4239	4520
TMEM52	273	240	617
CFAP74	13614	7847	7359
GABRD	2963	2489	4953
PRKCZ	8148	7077	8801
FAAP20	1359	1565	1367
SKI	1813	2681	3035
MORN1	3090	2508	3361
RER1	5085	3205	1512
PEX10	243	278	408
PLCH2	1524	973	1012
PANK4	12365	6460	6111
HES5	859	1881	843
TNFRSF14	138	116	64
FAM213B	1405	2274	1421
MMEL1	1059	1159	882
TTC34	5520	2481	4873
ACTRT2	1302	1929	1248
PRDM16	3591	4050	6874
ARHGEF16	4990	12050	8240
MEGF6	1902	2121	5755
TPRG1L	833	2806	1839
WRAP73	5995	5877	6269
TP73	8433	4015	5767
CCDC27	1046	542	1014
SMIM1	789	1045	350
LRRC47	3353	1007	1120
CEP104	5992	3705	4320
DFFB	1936	3031	1535
C1orf174	4265	4328	3549
AJAP1	6830	4662	3170
NPHP4	1565	1552	984
KCNAB2	543	415	876
CHD5	4122	9920	10048
RPL22	1124	2454	2904
RNF207	3820	1627	982
ICMT	2271	1459	1608
HES3	7966	5323	7638
GPR153	4005	3549	4745
ACOT7	5431	2760	8644
HES2	1221	1258	1303
ESPN	6396	10223	6617
TNFRSF25	459	371	808
PLEKHG5	1956	4724	3954
NOL9	2828	7350	7161
TAS1R1	3487	5383	6580
ZBTB48	514	1036	2058
KLHL21	3563	3156	2464
PHF13	457	576	357
THAP3	582	570	1144
DNAJC11	3384	4543	5455
CAMTA1	395	1218	297
VAMP3	335	379	219
PER3	75	94	191
UTS2	443	333	314
TNFRSF9	1853	2807	3890
PARK7	14496	8361	10928
ERRFI1	4461	4432	3249
SLC45A1	102	21	24
RERE	904	2221	2422
ENO1	131	101	90
CA6	280	348	268
SLC2A7	4902	4504	2357
SLC2A5	27	16	26
GPR157	433	432	596
H6PD	593	762	717
SPSB1	2082	1733	2111
SLC25A33	4811	3114	4141
TMEM201	1721	1954	697
PIK3CD	12168	11003	11658
CLSTN1	1053	1063	762
AL357140.1	1143	558	355
CTNNBIP1	5132	2088	6952
LZIC	3468	1088	2208
NMNAT1	925	413	279
RBP7	2169	3825	3591
UBE4B	3172	8100	4437
KIF1B	10093	3823	15970
PGD	86	103	47
APITD1-CORT	3774	4102	2952
APITD1	530	375	592
CORT	2640	1252	2420
DFFA	19573	6720	11662
