#gene	sample4	sample5	sample6
anise	1789	2514	1780
apricot	15530	33883	13203
artichoke	10935	11200	7343
arugula	269717	66118	88089
asparagus	31447	44649	36350
avocado	234911	164224	197227
banana	56970	69032	120376
basil	63418	24924	27019
beet	836	2782	1772
blackberry	568240	365533	661055
blueberry	183486	150648	113362
broccoli	4645	3331	4663
butternut	3175	2338	1941
cabbage	451	235	287
cantaloupe	1031	1709	489
caraway	620	733	666
carrot	4471	8737	8795
cauliflower	168253	295655	155081
cayenne	204	257	189
celery	4691	3866	4195
chard	101526	203065	147216
cherry	39	35	130
chestnut	36218	17113	28941
chickpea	122	48	36
cilantro	1032	1135	1797
clementine	109202	175676	49725
coconut	317717	275966	520382
coriander	667	1189	1812
cranberry	12309	15525	24186
cucumber	5480	6078	6566
currant	208301	294144	312153
eggplant	91751	202725	140056
elderberry	116438	202928	355011
endive	4117	5027	3047
fennel	37657	53260	21957
fig	327668	264239	465833
garlic	217	430	286
ginger	1435	471	462
gooseberry	809	795	551
grape	110887	33600	72079
grapefruit	58844	76522	36157
guava	3605	4327	5493
honeydew	49	84	57
horseradish	2678	3611	3088
huckleberry	191224	170099	281076
juniper	479	1390	751
kiwi	3312	6204	6082
kohlrabi	89860	176960	40853
lavender	260	263	235
leek	4425	1584	4316
lentil	331458	269185	362305
lettuce	390599	200290	341259
lime	13666	31333	3925
maize	223	327	399
mango	934504	876705	816858
melon	5645	2133	1073
mulberry	2271	740	2421
mushroom	30358	32009	19677
mustard	12418	18967	7974
nectarine	990	721	745
okra	62480	80074	87752
olive	424813	226428	403336
onion	103132	65691	55495
orange	378419	326415	282388
oregano	377	241	152
papaya	126076	115521	117103
parsley	37373	104228	77963
parsnip	46396	96039	41067
pea	934	1127	1819
peach	55062	89244	39036
pear	942	1526	692
pepper	195	218	217
persimmon	680	1082	567
pineapple	6282	2149	3644
plantain	1050	1048	1247
plum	5829	8641	11235
pomegranate	22403	22514	11892
potato	110	402	222
pumpkin	806	1206	1473
quince	509768	1037635	628301
radish	2814	6942	4100
raisin	782013	556494	508339
raspberry	28121	58683	21086
rhubarb	187680	471414	444906
rosemary	137392	143220	67903
rutabaga	569	1418	1198
sage	3204	2969	3319
scallion	423	221	128
spinach	1429	2420	1676
strawberry	98155	127812	177419
tamarind	110	68	321
tangerine	1051	845	943
thyme	556	706	1227
tomato	120912	46035	52993
turnip	612512	577645	490052
wasabi	1757209	2030629	1511053
watercress	124286	103667	81437
watermelon	1382962	924948	2515320
yam	2779	3693	2803
zucchini	483	774	1299
OR4F5	739	691	1032
FO538757.2	2632	3288	3133
FO538757.1	6628	2338	4732
OR4F29	3929	3694	8456
OR4F16	1420	2897	2103
SAMD11	1051	909	1963
NOC2L	1206	637	915
KLHL17	1217	2612	2858
PLEKHN1	1229	2306	5310
PERM1	9481	10442	14835
HES4	247	192	342
ISG15	366	706	253
AGRN	566	640	742
RNF223	5250	4454	7224
C1orf159	7329	7167	11193
TTLL10	5445	4060	7984
TNFRSF18	1405	2015	1342
TNFRSF4	4819	9539	4405
SDF4	139	465	119
B3GALT6	1527	943	2213
FAM132A	1082	763	401
UBE2J2	81	104	39
SCNN1D	4488	5083	6495
ACAP3	189	259	237
PUSL1	2525	2714	2042
CPSF3L	483	731	1091
CPTP	2894	847	4135
TAS1R3	1914	2048	1734
DVL1	7618	5981	6998
MXRA8	2548	1735	2593
AURKAIP1	488	656	297
CCNL2	17851	17705	23382
MRPL20	584	522	936
ANKRD65	1782	4391	1350
TMEM88B	308	402	535
VWA1	15199	21092	14225
ATAD3C	583	341	1122
ATAD3B	1257	1392	2204
ATAD3A	1575	5966	4440
TMEM240	2045	2869	2338
SSU72	241	373	466
AL645728.1	290	273	159
FNDC10	5104	5893	8488
MIB2	62	306	71
MMP23B	7456	13071	10011
CDK11B	290	1726	978
SLC35E2B	4488	1713	4536
CDK11A	1141	1047	1540
SLC35E2	872	1158	1224
NADK	1841	575	2084
GNB1	4897	4717	9645
CALML6	2813	5307	4146
TMEM52	364	541	400
CFAP74	3800	2173	4879
GABRD	5483	1333	3996
PRKCZ	4439	1447	7360
FAAP20	1137	1016	603
SKI	2484	1423	1069
MORN1	3549	1904	2065
RER1	2699	2359	753
PEX10	315	168	148
PLCH2	349	730	1303
PANK4	2838	4980	3514
HES5	2760	2430	2100
TNFRSF14	105	206	130
FAM213B	840	1075	3168
MMEL1	311	284	370
TTC34	4010	3347	1926
ACTRT2	1014	692	723
PRDM16	6525	4330	2923
ARHGEF16	9678	10404	3593
MEGF6	2674	2310	3197
TPRG1L	1867	1143	2503
WRAP73	2943	2293	5912
TP73	2196	5206	2289
CCDC27	420	617	221
SMIM1	619	200	601
LRRC47	351	941	1055
CEP104	3331	3697	1888
DFFB	1717	1910	3046
C1orf174	4103	2195	4228
AJAP1	3073	2080	2931
NPHP4	1325	1026	884
KCNAB2	475	464	575
CHD5	7476	10248	8018
RPL22	655	1070	662
RNF207	1394	1153	796
ICMT	1558	577	996
HES3	4074	5597	5403
GPR153	4378	797	2263
ACOT7	1757	2053	2257
HES2	1471	1646	833
ESPN	3209	4059	3257
TNFRSF25	459	397	186
PLEKHG5	3418	4370	3190
NOL9	5809	8482	3221
TAS1R1	4721	2942	4521
ZBTB48	530	706	722
KLHL21	1699	1047	1286
PHF13	439	317	551
THAP3	645	870	819
DNAJC11	1539	2308	2761
CAMTA1	632	634	405
VAMP3	229	142	238
PER3	95	150	79
UTS2	449	601	235
TNFRSF9	2263	3431	1366
PARK7	11115	5524	6274
ERRFI1	4786	1389	3346
SLC45A1	17	29	32
RERE	1308	1399	2492
ENO1	60	90	49
CA6	66	478	111
SLC2A7	1928	2440	2225
SLC2A5	14	18	30
GPR157	1171	943	655
H6PD	215	675	778
SPSB1	1705	2384	583
SLC25A33	2215	4227	5918
TMEM201	1112	1603	1286
PIK3CD	7294	5966	4387
CLSTN1	696	574	454
AL357140.1	379	453	264
CTNNBIP1	4199	1177	2289
LZIC	1280	762	754
NMNAT1	658	1146	741
RBP7	4523	1499	2193
UBE4B	2612	2419	2763
KIF1B	4640	6813	5819
PGD	49	26	27
APITD1-CORT	4049	2671	4589
APITD1	560	223	301
CORT	2429	1350	695
DFFA	5804	15804	15715
PEX14	1037	1262	1675
CASZ1	2141	4212	4950
C1orf127	1306	1097	2096
TARDBP	3372	3200	2971
RP4-635E18.9	7244	6022	5229
MASP2	4029	4408	5129
SRM	875	834	613
EXOSC10	2109	1903	1137
MTOR	7188	5982	8575
ANGPTL7	835	1130	512
UBIAD1	4749	2271	5557
DISP3	135	246	206
FBXO2	1270	1210	1492
FBXO44	1375	1816	1311
FBXO6	2113	1484	1599
MAD2L2	1522	933	1109
DRAXIN	108	64	62
AGTRAP	8939	15538	8174
C1orf167	3487	2149	2075
MTHFR	3423	3588	3444
CLCN6	6054	6395	2915
NPPA	2536	1758	3802
NPPB	2667	2806	5545
KIAA2013	1056	1424	1122
PLOD1	8603	6518	7268
MFN2	191	443	208
MIIP	4624	1616	7240
TNFRSF8	700	702	996
TNFRSF1B	537	1332	683
VPS13D	3205	1545	2510
DHRS3	6304	6515	5740
AADACL4	210	189	97
AADACL3	3279	1989	4602
C1orf158	248	476	462
PRAMEF12	2805	2592	3353
PRAMEF1	2425	2223	3883
PRAMEF11	2472	3362	1771
HNRNPCL1	1756	1228	979
PRAMEF2	2845	3155	1618
PRAMEF4	1738	1904	970
PRAMEF10	3292	2001	8692
PRAMEF7	3973	4374	3111
PRAMEF6	1026	1585	689
PRAMEF27	4334	1829	4994
PRAMEF25	4338	7756	5560
HNRNPCL3	204	570	422
HNRNPCL2	440	328	373
PRAMEF26	32	19	19
HNRNPCL4	3532	5317	3721
PRAMEF9	2654	2621	2522
PRAMEF18	751	816	1219
PRAMEF5	280	550	211
PRAMEF8	9998	4865	8355
PRAMEF15	1514	313	653
PRAMEF14	519	560	632
PRAMEF19	755	830	861
PRAMEF17	1101	1547	2225
PRAMEF20	464	375	424
LRRC38	754	1354	723
PDPN	585	406	556
PRDM2	335	356	462
KAZN	197	487	336
TMEM51	902	836	759
FHAD1	1169	816	685
EFHD2	313	1341	951
CTRC	5296	3162	5131
CELA2A	4735	3897	1441
CELA2B	4218	2058	3879
CASP9	1901	681	1189
DNAJC16	2114	3487	1555
AGMAT	848	956	1279
DDI2	627	740	914
RSC1A1	2160	2173	1139
PLEKHM2	90	102	70
SLC25A34	3599	6393	5151
TMEM82	1171	1047	839
FBLIM1	1271	1307	2154
UQCRHL	2652	2234	2840
SPEN	556	607	791
ZBTB17	595	1432	1354
C1orf64	4426	3208	1641
HSPB7	224	215	294
CLCNKA	1430	2344	1468
CLCNKB	3471	6630	4188
FAM131C	1382	2040	2638
EPHA2	3633	7845	3641
ARHGEF19	4385	3808	8164
RSG1	3662	5449	3862
FBXO42	2580	1230	1377
SZRD1	1203	2082	3289
SPATA21	952	546	1212
NECAP2	2233	1542	739
FAM231B	197	98	114
NBPF1	257	330	280
FAM231A	1319	1074	1436
FAM231C	163	175	144
CROCC	10179	8948	6327
MFAP2	1791	2122	4426
ATP13A2	2431	5377	3196
SDHB	4231	5810	2406
PADI2	902	2429	1849
PADI1	1106	1563	1341
PADI3	712	251	390
PADI4	622	235	283
AC004824.1	1968	2128	1178
PADI6	24	20	20
RCC2	1710	1459	840
ARHGEF10L	42	34	21
ACTL8	2960	9515	3332
IGSF21	2322	3987	3448
KLHDC7A	6357	2342	1261
PAX7	199	230	275
TAS1R2	1064	958	1516
RP13-279N23.2	525	329	891
ALDH4A1	354	212	493
IFFO2	1777	1710	2066
UBR4	6222	4990	6272
EMC1	3691	3726	1620
MRTO4	1036	1122	1046
AKR7A3	1515	724	1121
AKR7A2	1269	985	1328
PQLC2	1408	1746	1653
CAPZB	190	229	318
MINOS1	1734	1195	3029
MINOS1-NBL1	1113	652	914
NBL1	295	465	695
HTR6	167	177	398
TMCO4	2480	2591	1322
RNF186	590	538	445
OTUD3	473	1311	2068
PLA2G2E	2042	1866	1904
PLA2G2A	4741	5736	8921
PLA2G5	834	1572	507
PLA2G2D	4987	6913	10862
PLA2G2F	3358	1993	2445
PLA2G2C	34	68	66
UBXN10	4298	5170	4312
VWA5B1	4092	5330	3335
CAMK2N1	313	152	283
MUL1	2662	1135	629
FAM43B	564	678	872
CDA	3095	2701	1932
PINK1	1196	1960	923
DDOST	1291	966	666
KIF17	3868	3219	1980
SH2D5	4365	4058	2993
HP1BP3	1362	1626	2974
EIF4G3	2181	1100	1128
ECE1	2336	1531	1201
NBPF3	26	19	10
ALPL	2390	2465	953
RAP1GAP	49	64	32
USP48	1005	1025	2956
LDLRAD2	7602	3337	3548
HSPG2	3563	1860	6838
CELA3B	500	413	603
CELA3A	7848	7040	3112
CDC42	1796	2770	2470
WNT4	4433	4402	4552
ZBTB40	700	290	496
EPHA8	247	395	238
C1QA	735	622	1685
C1QC	7214	7518	6693
C1QB	280	274	345
EPHB2	290	777	357
LACTBL1	4369	2487	4711
C1orf234	576	486	251
KDM1A	3809	6731	9733
LUZP1	5620	2717	8215
HTR1D	2024	2673	2493
HNRNPR	1431	1069	1057
ZNF436	352	327	353
TCEA3	4381	1238	1351
ASAP3	69	95	125
E2F2	2863	3140	6361
ID3	192	227	303
MDS2	1394	2289	3290
RPL11	2380	1833	2407
TCEB3	680	710	951
PITHD1	5043	2029	1283
LYPLA2	1777	2472	3587
GALE	3817	2917	2950
HMGCL	871	1251	1849
FUCA1	1409	1099	1316
CNR2	722	749	494
PNRC2	290	407	337
SRSF10	2838	3124	3135
MYOM3	1379	999	604
IL22RA1	5357	4416	6882
